date,close,pct_change
2000-01-05,1409.68,0.0023535769392124214
2000-01-06,1463.94,0.038491005050791664
2000-01-07,1516.6,0.035971419593699094
2000-01-10,1545.11,0.01879862851114334
2000-01-11,1479.78,-0.04228177929079478
2000-01-12,1438.02,-0.028220411142196807
2000-01-13,1424.44,-0.009443540423638007
2000-01-14,1408.84,-0.010951672236106916
2000-01-17,1433.33,0.017383095312455646
2000-01-18,1426.62,-0.004681406235828481
2000-01-19,1440.72,0.00988350086217783
2000-01-20,1466.86,0.018143705924815283
2000-01-21,1465.08,-0.0012134764053829082
2000-01-24,1477.34,0.00836814371911431
2000-01-25,1476.5,-0.0005685894919246201
2000-01-26,1481.11,0.003122248560785574
2000-01-27,1506.76,0.017318092511697372
2000-01-28,1534.99,0.018735565053492272
2000-02-15,1670.67,-0.001953475034947478
2000-02-16,1693.1,0.013425751345268567
2000-02-17,1640.64,-0.030984584489988667
2000-02-18,1668.09,0.016731275599765835
2000-02-21,1677.13,0.005419371856434719
2000-02-22,1632.29,-0.02673615044749074
2000-02-23,1594.93,-0.02288808973895564
2000-02-24,1634.3,0.02468446891086122
2000-02-25,1631.57,-0.0016704399437067969
2000-02-28,1704.85,0.0449137946885515
2000-02-29,1714.57,0.005701381353198245
2000-03-01,1697.74,-0.00981587220119326
2000-03-02,1713.01,0.008994310082815968
2000-03-03,1738.02,0.014600031523458701
2000-03-06,1681.08,-0.032761418165498706
2000-03-07,1694.79,0.008155471482618339
2000-03-08,1726.03,0.018432962195906285
2000-03-09,1732.34,0.0036557881380972204
2000-03-10,1705.04,-0.01575903113707468
2000-03-13,1728.87,0.013976211701778214
2000-03-14,1685.34,-0.025178295649759656
2000-03-15,1681.47,-0.0022962725622129015
2000-03-16,1607.52,-0.0439793751895663
2000-03-17,1658.6,0.031775654424206184
2000-03-20,1699.24,0.024502592547932054
2000-03-21,1710.32,0.006520562133659711
2000-03-22,1720.44,0.00591702137611682
2000-03-23,1747.24,0.015577410429890002
2000-03-24,1730.49,-0.009586547927016322
2000-03-27,1775.91,0.026246901166721605
2000-03-28,1791.44,0.008744812518652393
